row_id,koi_eccen,koi_teq,koi_impact,koi_incl,koi_insol,koi_count,koi_period,koi_steff,koi_smass,koi_smet,koi_slogg
8600,0,1135,0.117,88.69,392.05,1,2.97586085,5481,0.821,-0.22,4.508
8601,0,855,1.141,88.57,126.35,1,14.65801395,5146,0.934,0.14,3.986
8602,0,734,0.421,89.3,68.54,1,18.83948744,6208,1.086,-0.12,4.454
8603,0,3049,0.563,78.77,20544.64,1,0.555973803,5445,0.977,-0.46,3.776
8604,0,1316,0.668,85.43,709.74,1,4.426344495,6228,1.034,-0.2,4.277
8605,0,2649,0.992,66.74,11612.14,1,0.957823876,5908,1.103,-0.28,3.865
8606,0,1159,1.038,83.63,425.9,1,5.024768971,6322,0.99,-0.44,4.444
8607,0,527,0.58,88.56,18.3,1,30.96021667,5291,0.828,0.06,4.423
8608,0,2657,0.804,76.13,11792.22,1,2.470283788,7823,2.002,0.07,3.885
8609,0,1866,0.678,66.47,2861.14,1,1.23516416,6249,1.13,-0.04,4.428
8610,0,1743,0.716,61.13,2172.96,1,1.23513471,5930,0.99,-0.1,4.436
8611,0,5714,0.322,82.74,251387.46,1,0.8903331,4981,3.369,0.07,2.437
8612,0,746,1.004,87.04,73.09,3,20.00024281,6373,1.094,-0.24,4.438
8613,0,994,0.786,88.12,230.53,1,10.21712165,5931,1.042,0,4.196
8614,0,1854,0.944,43.32,2791.09,1,0.618060842,5339,0.731,-0.38,4.503
8615,0,2715,0.545,73.89,12833.03,1,0.759764419,5807,1.13,-0.02,3.93
8616,0,1280,0.434,86.92,633.57,1,2.6528082,5778,0.962,-0.06,4.48
8617,0,674,0.908,88.62,48.89,1,21.53926924,6136,0.973,-0.36,4.487
8618,0,693,0.428,88.83,54.59,1,5.270733213,4348,0.669,0.07,4.601
8619,0,1422,0.12,89.48,965.4,1,2.43135542,6231,1.025,-0.32,4.488
8620,0,685,0.245,87.36,51.91,1,12.4232158,5497,0.907,-0.1,4.577
8621,0,1205,0.973,16.66,499.09,1,4.3206933,6225,1.091,-0.12,4.45
8622,0,1053,0.309,89.15,290.46,1,16.48679636,6020,1.162,-0.24,3.86
8623,0,1399,0.994,56.41,905,1,5.7768734,5473,1.065,-0.28,3.796
8624,0,631,0.215,89.59,37.55,1,20.14880771,5547,0.862,-0.1,4.447
8625,0,2097,1.166,57.79,4569.67,1,0.687772143,5885,0.821,-0.52,4.413
8626,0,1553,0.405,83.38,1371.12,1,0.843651274,5220,0.665,-0.64,4.578
8627,0,1293,0.479,83.45,660.96,1,1.142946648,5058,0.603,-0.98,4.651
8628,0,1096,1.287,84.53,341.36,1,7.217010987,6047,0.943,-0.32,4.246
8629,0,1126,1.274,62.49,379.75,1,9.72869627,6881,1.34,-0.04,4.301
8630,0,2040,0.679,66.03,4113.39,1,0.566791802,5691,1.003,0.07,4.544
8631,0,1737,0.397,83.38,2156.25,1,2.245738777,6508,1.217,-0.06,4.287
8632,0,1479,0.596,80.65,1131.64,1,2.24572117,6158,1.092,-0.06,4.455
8633,0,1344,0.155,86.74,774.11,1,0.566801906,4208,0.57,-0.36,4.662
8634,0,1288,0.7,83.58,651.03,1,2.316171991,5932,0.882,-0.54,4.58
8635,0,840,0.185,89.86,117.9,1,12.54474243,5767,1.015,0.14,4.316
8636,0,1230.591837,0.752229592,74.92673469,392.81,1,0.56680208,5846.928571,1.055642857,-0.147755102,4.3095
8637,0,1921,0.982,13.58,3220.92,1,0.566810701,5593,0.791,-0.5,4.584
8638,0,2313,1.196,9.71,6742.52,1,0.566813319,6108,1.132,0.07,4.466
8639,0,971,0.559,88.11,210.02,1,28.78725751,5154,1.672,0.08,3.461
8640,0,1490,1.224,56.33,1160.98,1,0.835315046,5009,0.666,-0.46,4.584
8641,0,1389,0.005,89.98,879.95,1,3.07551068,5763,1.014,0.12,4.256
8642,0,755,1.147,88.41,76.63,1,26.0164225,6287,1.015,-0.34,4.231
8643,0,1072,0.431,88.3,312.61,1,6.29340543,6214,1.169,0.07,4.442
8644,0,234,0.6192,89.95,0.71,1,593.19521,6103,0.953,-0.34,4.391
8645,0,1473,0.288,85.92,1116.9,1,0.706430188,5037,0.574,-1.38,4.689
8646,0,888,0.509,87.73,147.24,1,7.7021729,5618,0.962,0.12,4.449
8647,0,1566,0.659,68.03,1416.91,1,0.78430061,5176,0.657,-0.66,4.589
8648,0,1502,0.878,75.71,1199.89,1,2.665875491,6234,1.097,-0.02,4.351
8649,0,1663,0.864,64.97,1807.48,1,2.6658312,6276,0.988,-0.42,4.17
8650,0,2946,1.04,5.26,17781.51,1,1.5765874,6742,1.752,-0.14,3.688
