,K2_Data,K2_Model4_Merged
481,CANDIDATE,CONFIRMED
482,CANDIDATE,CONFIRMED
483,CANDIDATE,CONFIRMED
484,CANDIDATE,CONFIRMED
485,CANDIDATE,CONFIRMED
486,CANDIDATE,CONFIRMED
487,CANDIDATE,CONFIRMED
488,CANDIDATE,CONFIRMED
489,CANDIDATE,CONFIRMED
490,CANDIDATE,CONFIRMED
494,CANDIDATE,CONFIRMED
495,CANDIDATE,CONFIRMED
496,CANDIDATE,CONFIRMED
497,CANDIDATE,CONFIRMED
498,CANDIDATE,CONFIRMED
500,CANDIDATE,CONFIRMED
501,CANDIDATE,CONFIRMED
502,CANDIDATE,CONFIRMED
503,CANDIDATE,CONFIRMED
504,CANDIDATE,CONFIRMED
505,CANDIDATE,CONFIRMED
506,CANDIDATE,CONFIRMED
507,CANDIDATE,CONFIRMED
513,CANDIDATE,CONFIRMED
514,CANDIDATE,CONFIRMED
515,CANDIDATE,CONFIRMED
516,CANDIDATE,CONFIRMED
517,CANDIDATE,CONFIRMED
518,CANDIDATE,CONFIRMED
519,CANDIDATE,CONFIRMED
520,CANDIDATE,CONFIRMED
521,CANDIDATE,CONFIRMED
522,CANDIDATE,CONFIRMED
523,CANDIDATE,CONFIRMED
524,CANDIDATE,CONFIRMED
525,CANDIDATE,CONFIRMED
526,CANDIDATE,CONFIRMED
527,CANDIDATE,CONFIRMED
528,CANDIDATE,CONFIRMED
529,CANDIDATE,CONFIRMED
530,CANDIDATE,CONFIRMED
531,CANDIDATE,CONFIRMED
532,CANDIDATE,CONFIRMED
533,CANDIDATE,CONFIRMED
534,CANDIDATE,CONFIRMED
535,CANDIDATE,CONFIRMED
536,CANDIDATE,CONFIRMED
538,CANDIDATE,CONFIRMED
539,CANDIDATE,CONFIRMED
540,CANDIDATE,CONFIRMED
541,CANDIDATE,CONFIRMED
542,CANDIDATE,CONFIRMED
543,CANDIDATE,CONFIRMED
544,CANDIDATE,CONFIRMED
545,CANDIDATE,CONFIRMED
546,CANDIDATE,CONFIRMED
547,CANDIDATE,CONFIRMED
548,CANDIDATE,CONFIRMED
554,CANDIDATE,CONFIRMED
555,CANDIDATE,CONFIRMED
556,CANDIDATE,CONFIRMED
557,CANDIDATE,CONFIRMED
558,CANDIDATE,CONFIRMED
559,CANDIDATE,CONFIRMED
562,CANDIDATE,CONFIRMED
563,CANDIDATE,CONFIRMED
564,CANDIDATE,CONFIRMED
565,CANDIDATE,CONFIRMED
566,CANDIDATE,CONFIRMED
567,CANDIDATE,CONFIRMED
568,CANDIDATE,CONFIRMED
569,CANDIDATE,CONFIRMED
570,CANDIDATE,CONFIRMED
571,CANDIDATE,CONFIRMED
572,CANDIDATE,CONFIRMED
573,CANDIDATE,CONFIRMED
574,CANDIDATE,CONFIRMED
575,CANDIDATE,CONFIRMED
576,CANDIDATE,CONFIRMED
577,CANDIDATE,CONFIRMED
578,CANDIDATE,CONFIRMED
579,CANDIDATE,CONFIRMED
580,CANDIDATE,CONFIRMED
581,CANDIDATE,CONFIRMED
582,CANDIDATE,CONFIRMED
583,CANDIDATE,CONFIRMED
584,CANDIDATE,CONFIRMED
585,CANDIDATE,CONFIRMED
586,CANDIDATE,CONFIRMED
587,CANDIDATE,CONFIRMED
588,CANDIDATE,CONFIRMED
589,CANDIDATE,CONFIRMED
590,CANDIDATE,CONFIRMED
591,CANDIDATE,CONFIRMED
592,CANDIDATE,CONFIRMED
593,CANDIDATE,CONFIRMED
594,CANDIDATE,CONFIRMED
595,CANDIDATE,CONFIRMED
596,CANDIDATE,CONFIRMED
603,CANDIDATE,CONFIRMED
604,CANDIDATE,CONFIRMED
605,CANDIDATE,CONFIRMED
606,CANDIDATE,CONFIRMED
607,CANDIDATE,CONFIRMED
608,CANDIDATE,CONFIRMED
610,CANDIDATE,CONFIRMED
611,CANDIDATE,CONFIRMED
612,CANDIDATE,CONFIRMED
614,CANDIDATE,CONFIRMED
615,CANDIDATE,CONFIRMED
616,CANDIDATE,CONFIRMED
617,CANDIDATE,CONFIRMED
