row_id,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_quarters,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
6764,0.904,0,0,0,425.483539,149.0438,2454982.044,0,0.03,17.856,997,0.028707,0.6854,3.2,1.1546,89.99,248,0.89,187.2,0.2826,0.3729,8.625145,12.365484,19.6,1,4,1,1.11E+31,0.0052,5977,4.473,0.21,1.022,1.133,294.05762,46.441029,15.807,16.34,15.752,15.578,15.53,14.645,14.295,14.231,0.004,19.603838,46.44144,-0.09,1.46,-1.00E-05,-0.00139,-0.37,0.31,0.48,-0.48,0.19,0.52
6765,0.269306122,0,0,0,208.800733,328.6955,2455161.695,0,0.3095,1.964,594,0.022565,215.14223,2.88,0.7266,89.95,347,3.43,791,0.3027,0.3332,73.13507722,290.5218273,4.9,1,513.6122449,1,8.91E+30,0.505287755,6208,4.372,0.1,1.168,1.175,296.94031,46.494099,15.239,15.729,15.202,15.029,14.98,14.147,13.803,13.676,0.035,19.796072,46.49468,1.9,2.1,-0.0013,-0.0014,1.2,-2.5,2.8,0.9,-2.8,3
6766,0.973,0,1,0,7.863361238,131.685485,2454964.685,0,0.869,3.42771,18200,0.148511,0.70194,22.7,0.0769,86.22,1057,294.86,13.189,0.2329,0.4554,337.22916,2128.392,723.3,1,138,1,1.11E+31,0.1733,5615,4.136,0.1,1.4,0.976,297.31314,46.448212,12.524,13.052,12.468,12.298,12.218,11.342,10.979,10.905,0,19.82087135,46.4482845,-0.1991,0.2682,-0.0322,0.0119,0.137,-0.07,0.154,0.139,-0.038,0.144
6767,0.269306122,1,0,0,120.169838,222.0869054,2455055.087,0,0.69544898,3.19,10231.17449,0.10857801,2.861124388,17.37489796,0.09180102,72.65908163,1580.163265,31090.7949,17.74603716,0.246305102,0.42002551,73.13507722,290.5218273,103.6081633,1,513.6122449,1,8.91E+30,0.505287755,5632.693878,4.29494898,-0.153367347,2.228591837,1.011989796,296.40851,47.982121,12.138,12.414,12.085,12.02,12.013,11.168,10.977,10.925,0.802,19.760549,47.98211,-0.7,0,6.00E-05,0,-1.1,0.08,1.1,-1.2,0.05,1.2
6768,0.269306122,0,0,0,113.7136303,179.5299204,2455012.53,0,0.69544898,2.45,10231.17449,0.10857801,2.861124388,17.37489796,0.09180102,72.65908163,1580.163265,31090.7949,17.74603716,0.246305102,0.42002551,73.13507722,290.5218273,103.6081633,1,513.6122449,1,8.91E+30,0.505287755,5632.693878,4.29494898,-0.153367347,2.228591837,1.011989796,296.75278,47.973282,15.499,15.933,15.445,15.314,15.265,14.401,14.12,13.965,0.003,19.783481,47.9719,-1.4,-5,0.0007,0.0025,-1.84,-1.52,2.39,-1.88,-1.55,2.43
6769,0.269306122,0,0,0,17.634272,133.29332,2454966.293,0,0.1876,1.387,76.7,0.00782,54.06977,1.69,0.1296,89.95,842,118.84,96.1,0.1383,0.5966,73.13507722,290.5218273,9.7,1,513.6122449,1,8.91E+30,0.505287755,4885,3.815,0.1,1.979,0.933,298.74216,47.945278,12.31,13.135,12.254,11.957,11.809,10.755,10.222,10.108,0.956,19.916146,47.94531,0.1,0.1,1.00E-05,2.00E-05,0.78,0.7,1.04,1.01,1,1.4
6770,0,0,1,1,0.745086745,131.82655,2454964.827,0,0.626,4.29,270,0.015692,0.07932,1.29,0.0151,61.82,1654,1775.23,1.325,0.2075,0.49,3.4932466,14.199102,61.4,1,1796,1,1.11E+31,0.8081,5325,4.607,-0.22,0.75,0.84,289.16986,48.06678,15.489,16.11,15.434,15.223,15.126,14.122,13.71,13.646,0,19.277918,48.06752,-2.6,2.7,0.00018,-0.000155,2.01,2.76,3.42,2.12,2.96,3.64
6771,0.269306122,1,0,0,247.4772431,195.2104849,2455028.21,0,0.69544898,7.6,10231.17449,0.10857801,2.861124388,17.37489796,0.09180102,72.65908163,1580.163265,31090.7949,17.74603716,0.246305102,0.42002551,73.13507722,290.5218273,103.6081633,1,513.6122449,1,8.91E+30,0.505287755,5632.693878,4.29494898,-0.153367347,2.228591837,1.011989796,293.14627,48.058331,15.78,16.451,15.742,15.493,15.38,14.31,13.829,13.721,0.368,19.54304,48.05821,-1.6,-0.4,0.0009,0.0001,-0.1,0.3,0.32,-0.1,0.3,0.31
6772,0.269306122,0,0,0,208.047137,321.9021,2455154.902,0,0.1884,3.22,288,0.015645,52.22456,2.05,0.6345,89.95,363,4.12,493,0.3006,0.3119,73.13507722,290.5218273,6.9,1,513.6122449,1,8.91E+30,0.505287755,5991,4.175,-0.76,1.2,0.784,294.28503,48.059448,13.934,14.388,13.902,13.739,13.641,12.693,12.334,12.254,0.049,19.618992,48.05862,-0.4,-3,5.00E-05,0.00099,-1.82,-0.08,1.82,-1.94,-0.1,1.95
6773,0.269306122,0,0,0,30.561533,136.05488,2454969.055,0,0.0124,2.227,586,0.021046,24.8331,1.53,0.1661,89.95,379,4.86,107,0.1129,0.6329,73.13507722,290.5218273,6.9,1,513.6122449,1,8.91E+30,0.505287755,4294,4.609,0.04,0.664,0.654,297.39093,48.03928,15.871,17.104,15.867,15.342,15.013,13.823,13.177,13.097,0,19.826063,48.03784,0,-5.2,0.0001,0.0038,0.55,0.48,0.73,0.72,1.44,1.61
