rowid,pl_name,hostname,pl_letter,k2_name,epic_hostname,epic_candname,hd_name,hip_name,tic_id,gaia_id,default_flag,disposition,disp_refname,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_refname,disc_pubdate,disc_locale,disc_facility,disc_telescope,disc_instrument,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,pl_tsystemref,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_refname,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_icmag,sy_tmag,sy_kepmag,rowupdate,pl_pubdate,releasedate,pl_nnotes,k2_campaigns,k2_campaigns_num,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec
3400,Qatar-2 b,Qatar-2,b,,EPIC 212756297,EPIC 212756297.01,,,TIC 2521105,Gaia DR2 3620030644476623616,0,CONFIRMED,Bryan et al. 2011,1,1,0,0,Transit,2011,<a refstr=BRYAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1110.5912B/abstract target=ref> Bryan et al. 2011 </a>,2012-05,Ground,Qatar,Canon 400mm f/2.8L,FLI ProLine 4K CCD Sensor,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=BRYAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1110.5912B/abstract target=ref> Bryan et al. 2011 </a>,1.3371182,0.02149,12.823,1.144,790.41,2.487,,,,,790.41,2.487,Mass,2.208,0,,1292,88.3,2455624.267,BJD-TDB,0,0.19,2.725,1.8096,,,,,,558.7,,,<a refstr=BRYAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1110.5912B/abstract target=ref> Bryan et al. 2011 </a>,,4645,0.71,0.74,0.02,[m/H],,4.6,,2.89,2.8,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h50m37.32s,207.6554928,-06d48m14.66s,-6.8040714,53.16778,327.95632,4.28004,208.11837,89.500177,-88.1844,-15.2903,181.374,5.4849,14.582,13.443,11.35,10.794,10.619,16.5598,14.9689,13.0988,12.7252,12.959,10.563,10.642,10.533,8.6,13.0276,,12.3164,13.009,11/5/2014,2012-05,11/5/2014,1,6,1,0,1,0,0,0
3401,Qatar-2 b,Qatar-2,b,,EPIC 212756297,EPIC 212756297.01,,,TIC 2521105,Gaia DR2 3620030644476623616,0,CONFIRMED,Bryan et al. 2011,1,1,0,0,Transit,2011,<a refstr=BRYAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1110.5912B/abstract target=ref> Bryan et al. 2011 </a>,2012-05,Ground,Qatar,Canon 400mm f/2.8L,FLI ProLine 4K CCD Sensor,1,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,1.33711405,,,,,,,,,,,,,,,,,,2457226.133,BJD,0,,3.217,1.844,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4459,0.76,0.7,,,-0.683,4.52,,2.2178,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h50m37.32s,207.6554928,-06d48m14.66s,-6.8040714,53.16778,327.95632,4.28004,208.11837,89.500177,-88.1844,-15.2903,181.374,5.4849,14.582,13.443,11.35,10.794,10.619,16.5598,14.9689,13.0988,12.7252,12.959,10.563,10.642,10.533,8.6,13.0276,,12.3164,13.009,12/21/2016,2016-10,12/21/2016,1,6,1,0,1,0,0,0
3402,Qatar-2 b,Qatar-2,b,,EPIC 212756297,EPIC 212756297.01,,,TIC 2521105,Gaia DR2 3620030644476623616,0,CONFIRMED,Bryan et al. 2011,1,1,0,0,Transit,2011,<a refstr=BRYAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1110.5912B/abstract target=ref> Bryan et al. 2011 </a>,2012-05,Ground,Qatar,Canon 400mm f/2.8L,FLI ProLine 4K CCD Sensor,1,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,1.337116,,11.5,1.03,,,,,,,,,,,,,,,2457222.121,BJD,0,0.03,,1.8504,,0.1599,,,,,,,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,,,0.66,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h50m37.32s,207.6554928,-06d48m14.66s,-6.8040714,53.16778,327.95632,4.28004,208.11837,89.500177,-88.1844,-15.2903,181.374,5.4849,14.582,13.443,11.35,10.794,10.619,16.5598,14.9689,13.0988,12.7252,12.959,10.563,10.642,10.533,8.6,13.0276,,12.3164,13.009,12/14/2017,2018-01,12/14/2017,1,6,1,0,1,0,0,0
3403,Qatar-2 b,Qatar-2,b,,EPIC 212756297,EPIC 212756297.01,,,TIC 2521105,Gaia DR2 3620030644476623616,0,CONFIRMED,Bryan et al. 2011,1,1,0,0,Transit,2011,<a refstr=BRYAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1110.5912B/abstract target=ref> Bryan et al. 2011 </a>,2012-05,Ground,Qatar,Canon 400mm f/2.8L,FLI ProLine 4K CCD Sensor,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=DAI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...40D/abstract target=ref>Dai et al. 2017</a>,1.33711655,0.0216,12.89,1.15,826.358,2.6,,,,,826.358,2.6,Mass,,0,,,89.7,2455617.582,BJD,0,0.03,,,6.51466,0.16208,,,,,,,<a refstr=DAI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...40D/abstract target=ref>Dai et al. 2017</a>,,4645,0.71,0.74,-0.02,[Fe/H],,4.6,1.4,,2.8,18.5,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h50m37.32s,207.6554928,-06d48m14.66s,-6.8040714,53.16778,327.95632,4.28004,208.11837,89.500177,-88.1844,-15.2903,181.374,5.4849,14.582,13.443,11.35,10.794,10.619,16.5598,14.9689,13.0988,12.7252,12.959,10.563,10.642,10.533,8.6,13.0276,,12.3164,13.009,6/6/2018,2017-01,5/31/2018,1,6,1,0,1,0,0,0
3404,Ross 128 b,Ross 128,b,,EPIC 201518346,,,HIP 57548,TIC 325275315,Gaia DR2 3796072592206250624,1,CONFIRMED,Bonfils et al. 2018,1,1,0,0,Radial Velocity,2017,<a refstr=BONFILS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..25B/abstract target=ref>Bonfils et al. 2018</a>,2018-05,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=BONFILS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..25B/abstract target=ref>Bonfils et al. 2018</a>,9.8658,0.0496,,,,,1.4,0.0044,,,1.4,0.0044,Msini,,0.116,1.38,301,,,,0,,,,,,,,,1.39,,,<a refstr=BONFILS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..25B/abstract target=ref>Bonfils et al. 2018</a>,M4,3192,0.2,0.17,-0.02,[M/H],-2.441,,5,,,123,-30.9,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h47m45.02s,176.9376036,+00d47m57.44s,0.7992898,59.55577,270.15662,-0.48414,176.87233,1365.937178,607.678,-1223.32,3.37454,296.307,,11.12,6.505,5.945,5.654,,,,,,,,,,9.59067,,8.24327,9.778,11/16/2017,2018-05,11/17/2017,1,1,1,1,0,3,0,0
3405,TRAPPIST-1 b,TRAPPIST-1,b,K2-112 b,EPIC 246199087,,,,TIC 278892590,Gaia DR2 2635476908753563008,0,CONFIRMED,Gillon et al. 2016,1,7,0,0,Transit,2016,<a refstr=GILLON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.533..221G/abstract target=ref>Gillon et al. 2016</a>,2016-05,Ground,La Silla Observatory,0.60 m Transiting Planets and Planetesimals Small Telescope,TRAPPISTCAM,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,1.51087081,0.01111,1.086,0.097,0.85,0.00267,,,,,0.85,0.00267,Mass,3.6,0.081,4.25,400,89.65,2457322.517,BJD-TDB,1,0.126,0.7266,0.6067,20.5,,,,,,,,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,,2559,0.12,0.08,0.04,[Fe/H],-3.281,,,71.5,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,-56.64891,69.71519,0.62982,345.73685,1026.579271,901,-492,,,,17.02,11.354,10.718,10.296,23.3056,19.6235,17.9963,15.0923,13.4342,,,,,15.6451,,13.8529,12.917,2/17/2017,2017-02,2/22/2017,0,12,1,0,0,0,0,0
3406,TRAPPIST-1 b,TRAPPIST-1,b,K2-112 b,EPIC 246199087,,,,TIC 278892590,Gaia DR2 2635476908753563008,0,CONFIRMED,Gillon et al. 2016,1,7,0,0,Transit,2016,<a refstr=GILLON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.533..221G/abstract target=ref>Gillon et al. 2016</a>,2016-05,Ground,La Silla Observatory,0.60 m Transiting Planets and Planetesimals Small Telescope,TRAPPISTCAM,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=GRIMM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..68G/abstract target=ref>Grimm et al. 2018</a>,,0.011548,1.121,0.1,1.017,0.0032,,,,,1.017,0.0032,Mass,4,0.00622,,,,,,1,,,,,,,,336.86,,,,<a refstr=GRIMM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..68G/abstract target=ref>Grimm et al. 2018</a>,,,,0.09,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,-56.64891,69.71519,0.62982,345.73685,1026.579271,901,-492,,,,17.02,11.354,10.718,10.296,23.3056,19.6235,17.9963,15.0923,13.4342,,,,,15.6451,,13.8529,12.917,12/10/2020,2018-05,12/17/2020,0,12,1,0,0,0,0,0
3407,TRAPPIST-1 b,TRAPPIST-1,b,K2-112 b,EPIC 246199087,,,,TIC 278892590,Gaia DR2 2635476908753563008,0,CONFIRMED,Gillon et al. 2016,1,7,0,0,Transit,2016,<a refstr=GILLON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.533..221G/abstract target=ref>Gillon et al. 2016</a>,2016-05,Ground,La Silla Observatory,0.60 m Transiting Planets and Planetesimals Small Telescope,TRAPPISTCAM,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=GILLON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.533..221G/abstract target=ref>Gillon et al. 2016</a>,1.510848,0.01111,1.113,0.099,,,,,,,,,,,0,4.25,400,89.41,2457322.518,BJD-TDB,1,0.21,0.754,0.602,20.45,,,,,,,,<a refstr=GILLON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.533..221G/abstract target=ref>Gillon et al. 2016</a>,,2550,0.12,0.08,0.04,[Fe/H],-3.28,,0.5,70.9,,1.4,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,-56.64891,69.71519,0.62982,345.73685,1026.579271,901,-492,,,,17.02,11.354,10.718,10.296,23.3056,19.6235,17.9963,15.0923,13.4342,,,,,15.6451,,13.8529,12.917,2/17/2017,2016-05,5/5/2016,0,12,1,0,0,0,0,0
3408,TRAPPIST-1 b,TRAPPIST-1,b,K2-112 b,EPIC 246199087,,,,TIC 278892590,Gaia DR2 2635476908753563008,0,CONFIRMED,Gillon et al. 2016,1,7,0,0,Transit,2016,<a refstr=GILLON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.533..221G/abstract target=ref>Gillon et al. 2016</a>,2016-05,Ground,La Silla Observatory,0.60 m Transiting Planets and Planetesimals Small Telescope,TRAPPISTCAM,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=DE_WIT_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.537...69D/abstract target=ref>de Wit et al. 2016</a>,,,,,,,,,,,,,,,,,366,89.39,2457512.886,BJD,1,,0.8015,0.602,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,,0.11,0.09,,,,5.28,,84.5308,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,-56.64891,69.71519,0.62982,345.73685,1026.579271,901,-492,,,,17.02,11.354,10.718,10.296,23.3056,19.6235,17.9963,15.0923,13.4342,,,,,15.6451,,13.8529,12.917,2/17/2017,2016-09,9/15/2016,0,12,1,0,0,0,0,0
3409,TRAPPIST-1 b,TRAPPIST-1,b,K2-112 b,EPIC 246199087,,,,TIC 278892590,Gaia DR2 2635476908753563008,1,CONFIRMED,Gillon et al. 2016,1,7,0,0,Transit,2016,<a refstr=GILLON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.533..221G/abstract target=ref>Gillon et al. 2016</a>,2016-05,Ground,La Silla Observatory,0.60 m Transiting Planets and Planetesimals Small Telescope,TRAPPISTCAM,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,1.510826,0.01154,1.116,0.1,1.374,0.00432,,,,,1.374,0.00432,Mass,5.44194,,4.15,,89.728,2457257.55,BJD-TDB,1,0.095,0.7378,0.601,20.843,0.0859,,,,,,,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,,2566,0.12,0.09,,,-3.257,5.24,,75.05,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,-56.64891,69.71519,0.62982,345.73685,1026.579271,901,-492,,,,17.02,11.354,10.718,10.296,23.3056,19.6235,17.9963,15.0923,13.4342,,,,,15.6451,,13.8529,12.917,9/8/2021,2021-02,9/8/2021,0,12,1,0,0,0,0,0
3410,TRAPPIST-1 c,TRAPPIST-1,c,K2-112 c,EPIC 246199087,,,,TIC 278892590,Gaia DR2 2635476908753563008,0,CONFIRMED,Gillon et al. 2016,1,7,0,0,Transit,2016,<a refstr=GILLON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.533..221G/abstract target=ref>Gillon et al. 2016</a>,2016-05,Ground,La Silla Observatory,0.60 m Transiting Planets and Planetesimals Small Telescope,TRAPPISTCAM,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=GILLON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.533..221G/abstract target=ref>Gillon et al. 2016</a>,2.421848,0.01522,1.049,0.094,,,,,,,,,,,0,2.26,342,89.5,2457362.726,BJD-TDB,1,0.25,0.672,0.6963,28,,,,,,,,<a refstr=GILLON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.533..221G/abstract target=ref>Gillon et al. 2016</a>,,2550,0.12,0.08,0.04,[Fe/H],-3.28,,0.5,70.9,,1.4,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,-56.64891,69.71519,0.62982,345.73685,1026.579271,901,-492,,,,17.02,11.354,10.718,10.296,23.3056,19.6235,17.9963,15.0923,13.4342,,,,,15.6451,,13.8529,12.917,2/17/2017,2016-05,5/5/2016,0,12,1,0,0,0,0,0
3411,TRAPPIST-1 c,TRAPPIST-1,c,K2-112 c,EPIC 246199087,,,,TIC 278892590,Gaia DR2 2635476908753563008,0,CONFIRMED,Gillon et al. 2016,1,7,0,0,Transit,2016,<a refstr=GILLON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.533..221G/abstract target=ref>Gillon et al. 2016</a>,2016-05,Ground,La Silla Observatory,0.60 m Transiting Planets and Planetesimals Small Telescope,TRAPPISTCAM,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,2.4218233,0.01521,1.056,0.094,1.38,0.00434,,,,,1.38,0.00434,Mass,6.45,0.083,2.27,342,89.67,2457282.807,BJD-TDB,1,0.161,0.687,0.7062,28.08,,,,,,,,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,,2559,0.12,0.08,0.04,[Fe/H],-3.281,,,71.5,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,-56.64891,69.71519,0.62982,345.73685,1026.579271,901,-492,,,,17.02,11.354,10.718,10.296,23.3056,19.6235,17.9963,15.0923,13.4342,,,,,15.6451,,13.8529,12.917,2/17/2017,2017-02,2/22/2017,0,12,1,0,0,0,0,0
3412,TRAPPIST-1 c,TRAPPIST-1,c,K2-112 c,EPIC 246199087,,,,TIC 278892590,Gaia DR2 2635476908753563008,0,CONFIRMED,Gillon et al. 2016,1,7,0,0,Transit,2016,<a refstr=GILLON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.533..221G/abstract target=ref>Gillon et al. 2016</a>,2016-05,Ground,La Silla Observatory,0.60 m Transiting Planets and Planetesimals Small Telescope,TRAPPISTCAM,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=GRIMM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..68G/abstract target=ref>Grimm et al. 2018</a>,,0.015815,1.095,0.098,1.156,0.00364,,,,,1.156,0.00364,Mass,4.87,0.00654,,,,,,1,,,,,,,,282.45,,,,<a refstr=GRIMM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..68G/abstract target=ref>Grimm et al. 2018</a>,,,,0.09,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,-56.64891,69.71519,0.62982,345.73685,1026.579271,901,-492,,,,17.02,11.354,10.718,10.296,23.3056,19.6235,17.9963,15.0923,13.4342,,,,,15.6451,,13.8529,12.917,12/10/2020,2018-05,12/17/2020,0,12,1,0,0,0,0,0
3413,TRAPPIST-1 c,TRAPPIST-1,c,K2-112 c,EPIC 246199087,,,,TIC 278892590,Gaia DR2 2635476908753563008,0,CONFIRMED,Gillon et al. 2016,1,7,0,0,Transit,2016,<a refstr=GILLON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.533..221G/abstract target=ref>Gillon et al. 2016</a>,2016-05,Ground,La Silla Observatory,0.60 m Transiting Planets and Planetesimals Small Telescope,TRAPPISTCAM,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=DE_WIT_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.537...69D/abstract target=ref>de Wit et al. 2016</a>,,,,,,,,,,,,,,,,,315,89.58,2457512.88,BJD,1,,0.729,0.6963,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,,0.11,0.09,,,,5.28,,84.5308,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,-56.64891,69.71519,0.62982,345.73685,1026.579271,901,-492,,,,17.02,11.354,10.718,10.296,23.3056,19.6235,17.9963,15.0923,13.4342,,,,,15.6451,,13.8529,12.917,2/17/2017,2016-09,9/15/2016,0,12,1,0,0,0,0,0
3414,TRAPPIST-1 c,TRAPPIST-1,c,K2-112 c,EPIC 246199087,,,,TIC 278892590,Gaia DR2 2635476908753563008,1,CONFIRMED,Gillon et al. 2016,1,7,0,0,Transit,2016,<a refstr=GILLON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.533..221G/abstract target=ref>Gillon et al. 2016</a>,2016-05,Ground,La Silla Observatory,0.60 m Transiting Planets and Planetesimals Small Telescope,TRAPPISTCAM,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,2.421937,0.0158,1.097,0.098,1.308,0.00412,,,,,1.308,0.00412,Mass,5.46399,,2.21,,89.778,2457258.587,BJD-TDB,1,0.109,0.7123,0.7005,28.549,0.0844,,,,,,,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,,2566,0.12,0.09,,,-3.257,5.24,,75.05,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,-56.64891,69.71519,0.62982,345.73685,1026.579271,901,-492,,,,17.02,11.354,10.718,10.296,23.3056,19.6235,17.9963,15.0923,13.4342,,,,,15.6451,,13.8529,12.917,9/8/2021,2021-02,9/8/2021,0,12,1,0,0,0,0,0
3415,TRAPPIST-1 d,TRAPPIST-1,d,K2-112 d,EPIC 246199087,,,,TIC 278892590,Gaia DR2 2635476908753563008,1,CONFIRMED,Gillon et al. 2016,1,7,0,0,Transit,2016,<a refstr=GILLON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.533..221G/abstract target=ref>Gillon et al. 2016</a>,2016-05,Ground,La Silla Observatory,0.60 m Transiting Planets and Planetesimals Small Telescope,TRAPPISTCAM,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,4.049219,0.02227,0.788,0.07,0.388,0.00122,,,,,0.388,0.00122,Mass,4.36678,,1.11,,89.896,2457257.068,BJD-TDB,1,0.063,0.3676,0.8145,40.216,0.06063,,,,,,,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,,2566,0.12,0.09,,,-3.257,5.24,,75.05,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,-56.64891,69.71519,0.62982,345.73685,1026.579271,901,-492,,,,17.02,11.354,10.718,10.296,23.3056,19.6235,17.9963,15.0923,13.4342,,,,,15.6451,,13.8529,12.917,9/8/2021,2021-02,9/8/2021,3,12,1,0,0,0,0,0
3416,TRAPPIST-1 d,TRAPPIST-1,d,K2-112 d,EPIC 246199087,,,,TIC 278892590,Gaia DR2 2635476908753563008,0,CONFIRMED,Gillon et al. 2016,1,7,0,0,Transit,2016,<a refstr=GILLON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.533..221G/abstract target=ref>Gillon et al. 2016</a>,2016-05,Ground,La Silla Observatory,0.60 m Transiting Planets and Planetesimals Small Telescope,TRAPPISTCAM,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,4.04961,0.02144,0.772,0.069,0.41,0.00129,,,,,0.41,0.00129,Mass,4.9,0.07,1.14,288,89.75,2457670.142,BJD-TDB,1,0.17,0.367,0.8188,39.55,,,,,,,,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,,2559,0.12,0.08,0.04,[Fe/H],-3.281,,,71.5,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,-56.64891,69.71519,0.62982,345.73685,1026.579271,901,-492,,,,17.02,11.354,10.718,10.296,23.3056,19.6235,17.9963,15.0923,13.4342,,,,,15.6451,,13.8529,12.917,2/17/2017,2017-02,2/22/2017,3,12,1,0,0,0,0,0
